POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,SHAPE_AREA,SHAPE_LEN
01902,LYNN,NON UNIQUE,LYNN,37490,LYNN,ESSEX,2.39287545,6197518.96771,15643.2362825
02562,SAGAMORE BEACH,NON UNIQUE,SAGAMORE BEACH,59000,"BOURNE, TOWN OF",BARNSTABLE,2.38797825,6184835.285,10696.2619028
02725,SOMERSET,NON UNIQUE,SOMERSET,62465,"SOMERSET, TOWN OF",BRISTOL,2.38139817,6167792.95208,15756.8076571
02122,DORCHESTER,NON UNIQUE,DORCHESTER,17090,BOSTON,SUFFOLK,1.46751676,4034755.57427,16720.1997996
02460,NEWTONVILLE,NON UNIQUE,NEWTONVILLE,45735,NEWTON,MIDDLESEX,1.39441911,3611528.91715,12096.428707
02744,NEW BEDFORD,NON UNIQUE,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,1.39227048,3605963.99223,15307.6997763
01029,EAST OTIS,PO BOX,EAST OTIS,20240,"OTIS, TOWN OF",BERKSHIRE,0.02061906,53403.120823,1157.90313943
01074,SOUTH BARRE,PO BOX,SOUTH BARRE,62920,"BARRE, TOWN OF",WORCESTER,0.01049869,27191.4950105,908.853712786
01607,WORCESTER,NON UNIQUE,WORCESTER,82000,WORCESTER,WORCESTER,2.56402386,6640791.30301,12255.7310344
01105,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,1.32177084,3423370.76686,12746.1242465
01731,HANSCOM AFB,NON UNIQUE,HANSCOM AFB,28425,"LINCOLN, TOWN OF",MIDDLESEX,1.22079065,3161833.25695,8479.16889505
01003,AMHERST,NON UNIQUE,AMHERST,01290,"AMHERST, TOWN OF",HAMPSHIRE,1.21272454,3140942.13881,10995.6604518
02553,MONUMENT BEACH,PO BOX,MONUMENT BEACH,42670,"BOURNE, TOWN OF",BARNSTABLE,0.11848982,306887.231204,3134.62097599
02357,STONEHILL COLLEGE,UNIQUE ORGANIZATION,NORTH EASTON,47625,"EASTON, TOWN OF",BRISTOL,0.11141458,288562.449762,2462.57112657
02113,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.08990889,236774.552702,3669.96247919
02557,OAK BLUFFS,PO BOX,OAK BLUFFS,50425,"OAK BLUFFS, TOWN OF",DUKES,0.08250296,213681.674573,2782.59326172
01718,ACTON,NON UNIQUE,ACTON,00345,"ACTON, TOWN OF",MIDDLESEX,0.08209838,212633.832694,1996.01468297
01082,WARE,NON UNIQUE,WARE,72845,"PALMER, TOWN OF",HAMPDEN,0.07826961,202717.358368,1916.88200456
02661,SOUTH HARWICH,PO BOX,SOUTH HARWICH,64320,HARWICH,BARNSTABLE,0.07151371,185219.658514,2778.1622334
01242,LENOX DALE,PO BOX,LENOX DALE,35040,"LENOX, TOWN OF",BERKSHIRE,0.07046471,182502.760986,3057.66158028
